,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
4220,42,Harry Styles - As It Was,559,1,177,4017,IN,139.0
4227,49,The Weeknd - Blinding Lights,1354,1,114,3624,IN,67.0
4240,62,Taylor Swift - Lover,412,3,13,2739,IN,104.0
4289,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,IN,131.0
4304,126,Ed Sheeran - Perfect,1982,1,2,1446,IN,103.0
4323,145,Travis Scott - FEN,73,2,2,1301,IN,119.0
4346,168,Glass Animals - Heat Waves,1029,2,13,1177,IN,136.0
4378,1,Doja Cat - Paint The Town Red,68,1,45,16920,NL,5.0
4379,2,Tate McRae - greedy,27,2,9,14619,NL,1.0
4380,3,Drake - IDGAF,6,3,1,13364,NL,3.0
4381,4,Drake - First Person Shooter,6,3,2,12624,NL,4.0
4382,5,Drake - Virginia Beach,6,2,2,12359,NL,6.0
4383,6,Olivia Rodrigo - vampire,104,1,22,10868,NL,8.0
4384,7,Taylor Swift - Cruel Summer,245,1,13,10731,NL,22.0
4395,18,Dua Lipa - Dance The Night,139,1,19,7035,NL,9.0
4399,22,Dave & Central Cee - Sprinter,132,2,20,6672,NL,31.0
4407,30,Billie Eilish - What Was I Made For,90,2,10,5425,NL,13.0
4409,32,Miley Cyrus - Flowers,272,1,168,5145,NL,40.0
4410,33,Taylor Swift - Anti-Hero,356,1,50,5108,NL,38.0
4416,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,NL,106.0
4419,42,Harry Styles - As It Was,559,1,177,4017,NL,45.0
4425,48,David Kushner - Daylight,181,2,14,3657,NL,51.0
4426,49,The Weeknd - Blinding Lights,1354,1,114,3624,NL,48.0
4439,62,Taylor Swift - Lover,412,3,13,2739,NL,114.0
4447,70,SZA - Kill Bill,307,1,3,2487,NL,70.0
4461,84,Travis Scott - MELTDOWN,76,1,3,1860,NL,200.0
4464,87,OneRepublic - I Ain't Worried,492,2,27,1833,NL,112.0
4488,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,NL,163.0
4500,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,NL,82.0
4503,126,Ed Sheeran - Perfect,1982,1,2,1446,NL,63.0
4545,168,Glass Animals - Heat Waves,1029,2,13,1177,NL,125.0
4562,185,Chris Brown - Under the Influence,432,2,17,1110,NL,183.0
4575,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,NL,99.0
4577,1,Doja Cat - Paint The Town Red,68,1,45,16920,NZ,1.0
4578,2,Tate McRae - greedy,27,2,9,14619,NZ,5.0
4579,3,Drake - IDGAF,6,3,1,13364,NZ,3.0
4580,4,Drake - First Person Shooter,6,3,2,12624,NZ,2.0
4581,5,Drake - Virginia Beach,6,2,2,12359,NZ,4.0
4582,6,Olivia Rodrigo - vampire,104,1,22,10868,NZ,10.0
4583,7,Taylor Swift - Cruel Summer,245,1,13,10731,NZ,8.0
4594,18,Dua Lipa - Dance The Night,139,1,19,7035,NZ,12.0
4598,22,Dave & Central Cee - Sprinter,132,2,20,6672,NZ,14.0
4606,30,Billie Eilish - What Was I Made For,90,2,10,5425,NZ,29.0
4608,32,Miley Cyrus - Flowers,272,1,168,5145,NZ,24.0
4609,33,Taylor Swift - Anti-Hero,356,1,50,5108,NZ,26.0
4615,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,NZ,25.0
4618,42,Harry Styles - As It Was,559,1,177,4017,NZ,44.0
4624,48,David Kushner - Daylight,181,2,14,3657,NZ,66.0
4625,49,The Weeknd - Blinding Lights,1354,1,114,3624,NZ,48.0
4638,62,Taylor Swift - Lover,412,3,13,2739,NZ,61.0
4646,70,SZA - Kill Bill,307,1,3,2487,NZ,51.0
4660,84,Travis Scott - MELTDOWN,76,1,3,1860,NZ,197.0
4663,87,OneRepublic - I Ain't Worried,492,2,27,1833,NZ,45.0
4687,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,NZ,57.0
4699,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,NZ,55.0
4702,126,Ed Sheeran - Perfect,1982,1,2,1446,NZ,106.0
4744,168,Glass Animals - Heat Waves,1029,2,13,1177,NZ,74.0
4761,185,Chris Brown - Under the Influence,432,2,17,1110,NZ,95.0
